Entity Name,Entity ID,Fiscal Year,Hangar Space Rentals_Operating Revenues,Aircraft Parking_Operating Revenues,Building Rentals_Operating Revenues,Lease of Ground Area_Operating Revenues,Fuel Flowage Fees_Operating Revenues,"Landing, Gate, and Ramp Fees_Operating Revenues",Concession Revenues_Operating Revenues,Sales and Services_Operating Revenues,Other Operating Revenues_Operating Revenues,Total Operating Revenues,Landing Areas_Maintenance and Operation_Operating Expenses,Aircraft Parking_Maintenance and Operation_Operating Expenses,Hangars_Maintenance and Operation_Operating Expenses,Terminal Buildings and Areas_Maintenance and Operation_Operating Expenses,Other Buildings and Areas_Maintenance and Operation_Operating Expenses,General Shops and Equipment_Maintenance and Operation_Operating Expenses,Personnel Services_Operating Expenses,Contractual Services_Operating Expenses,Materials and Supplies_Operating Expenses,General and Administrative Expenses_Operating Expenses,Cost of Sales and Services_Operating Expenses,Depreciation and Amortization Expenses_Operating Expenses,Other Operating Expenses_Operating Expenses,Total Operating Expenses,Operating Income (Loss),Investment Income_Nonoperating Revenues,"Rents, Leases, Concessions, and Royalties_Nonoperating Revenues",Passenger Facility Charges_Nonoperating Revenues,Aid for Construction_Intergovernmental ? Federal_Nonoperating Revenues,Other Intergovernmental ? Federal_Intergovernmental ? Federal_Nonoperating Revenues,Aid for Construction_Intergovernmental ? State_Nonoperating Revenues,In-Lieu Taxes_Intergovernmental ? State_Nonoperating Revenues,Other Intergovernmental ? State_Intergovernmental ? State_Nonoperating Revenues,Intergovernmental ? County_Nonoperating Revenues,Intergovernmental ? Other_Nonoperating Revenues,Gain on Disposal of Capital Assets_Nonoperating Revenues,Other Nonoperating Revenues_Nonoperating Revenues,Total Nonoperating Revenues,Interest Expense_Nonoperating Expenses,Taxes and Assessments_Nonoperating Expenses,Judgments and Damages_Nonoperating Expenses,Loss on Disposal of Capital Assets_Nonoperating Expenses,Other Nonoperating Expenses_Nonoperating Expenses,Total Nonoperating Expenses,"Income (Loss) Before Capital Contributions, Transfers, and Special and Extraordinary Items",Federal_Capital Contributions,State_Capital Contributions,County_Capital Contributions,Other Government_Capital Contributions,Other Capital Contributions_Capital Contributions,Total Capital Contributions,Transfers In,Transfers Out,Special Item_Special and Extraordinary Items,Extraordinary Item_Special and Extraordinary Items,Total Special and Extraordinary Items,Change in Net Position,"Net Position (Deficit), Beginning of Fiscal Year",Adjustment,Reason for Adjustment,"Net Position (Deficit), End of Fiscal Year",Net Investment in Capital Assets_Net Position (Deficit),Restricted_Net Position (Deficit),Unrestricted_Net Position (Deficit),Total Net Position (Deficit),Total Acreage_Statistics,Length of Longest Runway Surfaced_Statistics,Length of Longest Runway Unimproved_Statistics,Length of Longest Taxiway Surfaced_Statistics,Length of Longest Taxiway Unimproved_Statistics,Parking Apron Acreage Surfaced_Statistics,Parking Apron Acreage Unimproved_Statistics,Aircraft Tie-Down Acreage_Statistics,Auto Parking Acreage_Statistics,Total Number of Tenant Aircraft_Statistics,Number of Hangars_Statistics,Total Aircraft Movements_Statistics,Annual Fuel Consumption (Gallons)_Statistics,Year of Acquisition_Statistics,Number of Passengers Enplaned_Statistics,Number of Passengers Deplaned_Statistics,Pounds of Air Cargo and Express_Statistics,Pounds of Mail_Statistics,Number of Air Carriers Scheduled per Day_Statistics,Are airport services provided by other than the local agency? (Report Yes or No)_Statistics
Auburn,1149,2024,NULL,NULL,725250,NULL,NULL,NULL,NULL,172194,11544,908988,NULL,NULL,NULL,NULL,NULL,NULL,523900,176279,392610,NULL,NULL,614681,NULL,1707470,-798482,191590,NULL,NULL,288753,NULL,57960,88602,NULL,NULL,NULL,NULL,NULL,626905,NULL,NULL,NULL,NULL,NULL,0,-171577,NULL,NULL,NULL,NULL,NULL,0,NULL,-25000,NULL,NULL,0,-196577,11134411,433118,Correction of error in leases and correction of beginning balance,11370952,8583889,NULL,2787063,11370952,252,369,NULL,NULL,NULL,8,NULL,NULL,2,273,113,75000,181985,1946,NULL,NULL,NULL,NULL,NULL,No
Bakersfield,1153,2024,83347,NULL,210309,NULL,5600,NULL,NULL,NULL,110991,410247,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,392482,NULL,118356,90070,600908,-190661,52668,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52668,NULL,NULL,NULL,NULL,NULL,0,-137993,NULL,NULL,NULL,NULL,NULL,0,NULL,-10242,NULL,NULL,0,-148235,11602456,28396,Correction of beginning balance.,11482617,10719010,NULL,763607,11482617,252,4000,NULL,4000,NULL,7,NULL,NULL,NULL,85,56,20000,80682,1986,NULL,NULL,NULL,NULL,NULL,Yes
Banning,1155,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,2316340,-2316340,Fund is nonmajor see Form 13,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Brawley,1172,2024,113897,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,113897,NULL,NULL,NULL,NULL,NULL,NULL,13195,NULL,82421,16680,NULL,457868,NULL,570164,-456267,16602,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,26602,NULL,NULL,NULL,NULL,NULL,0,-429665,NULL,NULL,NULL,NULL,NULL,0,NULL,-613,NULL,NULL,0,-430278,5357227,NULL,NULL,4926949,4428569,NULL,498380,4926949,128,4166,NULL,4166,NULL,9,NULL,4,1,54,61,3484,72565,1940,NULL,NULL,NULL,NULL,NULL,No
Calexico,1181,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,354281,50,354331,NULL,NULL,NULL,NULL,NULL,NULL,188638,NULL,119104,NULL,NULL,362020,5588,675350,-321019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23250,NULL,NULL,NULL,NULL,23250,NULL,NULL,NULL,NULL,NULL,0,-297769,NULL,NULL,NULL,NULL,NULL,0,140000,NULL,NULL,NULL,0,-157769,6701609,NULL,NULL,6543840,6479061,NULL,64779,6543840,257,5179,NULL,4679,NULL,48,NULL,15,NULL,13,16,3040,29821,1946,9120,9120,NULL,NULL,NULL,No
California City,1182,2024,22698,NULL,2400,16644,18033,NULL,NULL,NULL,8855,68630,22944,NULL,NULL,16040,NULL,NULL,20982,NULL,NULL,60852,NULL,280877,NULL,401695,-333065,NULL,NULL,NULL,NULL,20000,NULL,NULL,10000,NULL,NULL,NULL,NULL,30000,NULL,NULL,NULL,NULL,NULL,0,-303065,NULL,NULL,NULL,NULL,NULL,0,93768,NULL,NULL,NULL,0,-209297,2179997,280160,to adjust beginning balance,2250860,3443405,-1191828,-717,2250860,213,6024,NULL,6024,NULL,7,NULL,4,1,16,28,1460,16778,1963,NULL,NULL,NULL,NULL,NULL,No
Calipatria,1184,2024,0,NULL,NULL,6285,NULL,NULL,NULL,NULL,NULL,6285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24460,NULL,1971,NULL,NULL,NULL,26431,-20146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,-20146,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-20146,252993,NULL,NULL,232847,166068,NULL,66779,232847,200,3440,NULL,3440,NULL,1,NULL,1,1,NULL,1,2,NULL,1949,NULL,NULL,NULL,NULL,NULL,No
Chico,1197,2024,84709,NULL,642681,NULL,34158,28013,NULL,NULL,NULL,789561,NULL,NULL,NULL,NULL,NULL,NULL,493105,217806,31794,389927,NULL,1264724,24727,2422083,-1632522,13266,NULL,NULL,14650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9589,37505,NULL,NULL,NULL,NULL,NULL,0,-1595017,NULL,NULL,NULL,NULL,NULL,0,NULL,-55468,NULL,NULL,0,-1650485,20798305,NULL,NULL,19147820,17881021,NULL,1266799,19147820,1475,6724,0,6442,3745,45,52,45,6,141,122,34863,512000,1949,0,0,462000,0,0,No
Chowchilla,1200,2024,43508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2326,45834,NULL,NULL,NULL,NULL,NULL,NULL,22892,538,15757,NULL,NULL,26713,NULL,65900,-20066,8671,NULL,NULL,NULL,NULL,NULL,NULL,10000,14237,NULL,NULL,NULL,32908,NULL,NULL,NULL,NULL,NULL,0,12842,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,12842,993305,1133,To adjust to FY2023 audited financial statements,1007280,757611,NULL,249669,1007280,98,3250,NULL,3250,NULL,2,1,1,9,15,30,8340,NULL,1949,NULL,NULL,NULL,NULL,NULL,No
Cloverdale,1206,2024,51332,NULL,NULL,NULL,51221,NULL,NULL,NULL,NULL,102553,NULL,NULL,NULL,NULL,NULL,NULL,8732,12515,1631,29832,42729,68102,NULL,163541,-60988,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45035,NULL,NULL,NULL,550,45585,NULL,NULL,NULL,NULL,NULL,0,-15403,NULL,NULL,NULL,NULL,NULL,0,1398,NULL,NULL,NULL,0,-14005,11886053,NULL,NULL,11872048,11803952,NULL,68096,11872048,67,2909,NULL,2845,NULL,3,NULL,1,NULL,20,20,NULL,7283,1960,NULL,NULL,NULL,NULL,NULL,No
Corning,1218,2024,NULL,NULL,16959,NULL,NULL,NULL,NULL,NULL,10000,26959,NULL,NULL,NULL,NULL,NULL,NULL,13008,NULL,NULL,81139,NULL,79014,NULL,173161,-146202,1866,NULL,NULL,52956,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54822,NULL,NULL,NULL,NULL,36806,36806,-128186,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-128186,3529041,50369,Prior Period Adjustment  Related to GASB 68,3451224,3369558,NULL,81666,3451224,244,3300,NULL,2700,NULL,12,NULL,5,1,23,15,NULL,NULL,1948,NULL,NULL,NULL,NULL,NULL,No
Corona,1219,2024,422417,46927,NULL,NULL,35752,NULL,NULL,NULL,NULL,505096,NULL,NULL,NULL,NULL,NULL,NULL,80081,204,104981,NULL,NULL,14297,10818,210381,294715,66998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1692,NULL,NULL,68690,NULL,NULL,NULL,NULL,NULL,0,363405,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,363405,1555740,NULL,NULL,1919145,5057,NULL,1914088,1919145,96,3200,NULL,3200,NULL,30,10,40,3,332,298,45000,171417,NULL,NULL,NULL,NULL,NULL,NULL,Yes
Delano,1236,2024,25775,NULL,26891,174745,81688,NULL,NULL,21923,NULL,331022,NULL,NULL,NULL,NULL,NULL,NULL,26704,34528,165372,NULL,NULL,123632,NULL,350236,-19214,45497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45497,NULL,NULL,NULL,NULL,NULL,0,26283,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,26283,3385711,NULL,NULL,3411994,NULL,NULL,3411994,3411994,486,5651,5300,7000,2300,8,NULL,8,1,14,32,292,9970,1972,183,129,0,NULL,NULL,No
Dunsmuir,1246,2024,22115,267,NULL,2473,NULL,NULL,NULL,NULL,NULL,24855,NULL,NULL,NULL,NULL,NULL,NULL,24546,11736,2684,13988,NULL,170842,NULL,223796,-198941,NULL,NULL,NULL,7691,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,17691,NULL,NULL,NULL,NULL,NULL,0,-181250,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-181250,4398827,2323,Adjust to audited financial statements,4219900,4252253,NULL,-32353,4219900,26,2800,450,100,NULL,1,NULL,1,1,12,15,2100,9769,1964,NULL,NULL,NULL,NULL,NULL,No
El Paso De Robles,1252,2024,NULL,NULL,1094217,21465,125954,96316,NULL,NULL,1069,1339021,NULL,NULL,NULL,NULL,NULL,NULL,404385,NULL,NULL,774436,NULL,447830,NULL,1626651,-287630,507490,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,89898,597388,12882,NULL,NULL,NULL,NULL,12882,296876,455388,10000,NULL,NULL,NULL,465388,NULL,-44949,NULL,NULL,0,717315,18471492,NULL,NULL,19188807,15790807,NULL,3398000,19188807,1300,6008,0,6200,0,14,0,14,2,223,156,44000,1046217,1973,5000,5000,10000,10000,0,Yes
Fresno,1277,2024,774469,7875,9895786,13827397,244638,5599548,7801423,2390885,-255691,40286330,234480,NULL,NULL,3765531,NULL,NULL,10496543,25924,582671,10517991,NULL,12373379,NULL,37996519,2289811,8157165,NULL,4936636,NULL,6354664,NULL,NULL,NULL,NULL,NULL,NULL,2658834,22107299,6973646,NULL,NULL,NULL,67996,7041642,17355468,13303310,NULL,NULL,NULL,NULL,13303310,NULL,-258850,NULL,NULL,0,30399928,207905656,NULL,NULL,238305584,77457980,5147979,155699625,238305584,1875,9539,NULL,10500,NULL,93,NULL,38,32,286,303,90769,2299992,1946,1290073,1306881,21627362,209,8,No
Fullerton,1278,2024,1243724,158105,576606,24679,56171,NULL,11324,NULL,61938,2132547,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4706841,NULL,448762,NULL,5155603,-3023056,381465,NULL,NULL,NULL,NULL,NULL,NULL,26621,NULL,NULL,NULL,123987,532073,4803,NULL,NULL,NULL,NULL,4803,-2495786,NULL,NULL,NULL,NULL,532425,532425,NULL,NULL,NULL,NULL,0,-1963361,20630748,NULL,NULL,18667387,18997017,NULL,-329630,18667387,86,3121,NULL,3121,NULL,36,NULL,36,3,350,149,82000,386232,1927,NULL,NULL,NULL,NULL,NULL,Yes
Gustine,1292,2024,22992,NULL,NULL,NULL,79831,NULL,NULL,NULL,472,103295,NULL,NULL,NULL,NULL,NULL,2416,NULL,NULL,NULL,142897,84608,81658,NULL,311579,-208284,NULL,NULL,NULL,NULL,15399,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15399,NULL,NULL,NULL,NULL,NULL,0,-192885,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-192885,901016,NULL,NULL,708131,1010323,NULL,-302192,708131,94,3200,NULL,200,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Hanford,1294,2024,60509,NULL,NULL,94968,225809,NULL,NULL,NULL,13532,394818,NULL,NULL,8265,NULL,NULL,193594,46426,NULL,NULL,NULL,NULL,319509,NULL,567794,-172976,7519,NULL,NULL,NULL,75000,NULL,NULL,NULL,NULL,NULL,NULL,3952,86471,NULL,NULL,NULL,NULL,NULL,0,-86505,NULL,NULL,NULL,NULL,NULL,0,NULL,-5012,NULL,NULL,0,-91517,5921463,760,Beginning balance adjustment,5830706,5920397,NULL,-89691,5830706,297,5179,NULL,5180,NULL,8,NULL,8,1,74,42,15000,36000,1950,NULL,NULL,NULL,NULL,NULL,No
Hawthorne,1296,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,676319,878830,1555149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,161802,36176,857146,53244,358266,NULL,1466634,88515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,88515,NULL,NULL,NULL,NULL,NULL,0,NULL,-119231,NULL,NULL,0,-30716,9257604,NULL,NULL,9226888,7664584,NULL,1562304,9226888,80,4884,0,4884,0,15,1,11,1,152,80,51757,1207122,1948,5083,4900,0,0,1,No
Hayward,1297,2024,1425289,NULL,77772,2209574,NULL,NULL,NULL,NULL,914393,4627028,NULL,NULL,NULL,NULL,NULL,NULL,2114933,1274474,6700,774721,NULL,925336,NULL,5096164,-469136,633746,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,633746,NULL,NULL,NULL,NULL,NULL,0,164610,NULL,NULL,NULL,NULL,NULL,0,NULL,-359980,NULL,NULL,0,-195370,18147194,NULL,NULL,17951824,11664467,NULL,6287357,17951824,521,5694,NULL,8994,NULL,2,NULL,4,NULL,447,207,111756,1822023,1947,NULL,NULL,NULL,NULL,NULL,No
Healdsburg,1298,2024,145948,1530,NULL,63266,168146,NULL,42858,NULL,7025,428773,NULL,NULL,NULL,NULL,NULL,NULL,13245,NULL,1247370,44865,NULL,125736,NULL,1431216,-1002443,12757,NULL,NULL,742184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,754941,NULL,NULL,NULL,NULL,NULL,0,-247502,NULL,NULL,NULL,NULL,820022,820022,NULL,NULL,NULL,NULL,0,572520,3778036,NULL,NULL,4350556,3904577,NULL,445979,4350556,50,2652,NULL,3000,NULL,1,NULL,2,NULL,54,49,21900,27670,1976,NULL,NULL,NULL,NULL,NULL,No
Hollister,1306,2024,767671,9443,254163,332334,20573,27285,NULL,NULL,71942,1483411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1570259,NULL,NULL,NULL,1570259,-86848,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,NULL,NULL,NULL,NULL,3,-86851,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-86851,18102101,NULL,NULL,18015250,18856715,NULL,-841465,18015250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,No
Lincoln,1350,2024,777971,NULL,NULL,NULL,1252245,NULL,NULL,NULL,37643,2067859,NULL,NULL,NULL,NULL,NULL,NULL,321882,90197,946259,125247,NULL,214110,NULL,1697695,370164,39874,NULL,NULL,NULL,27615,NULL,61266,NULL,NULL,NULL,NULL,NULL,128755,NULL,NULL,NULL,NULL,101391,101391,397528,NULL,NULL,NULL,NULL,NULL,0,NULL,-163398,NULL,NULL,0,234130,107612,32000,Prior period adjustment,373742,5316633,NULL,-4942891,373742,774,6001,NULL,6001,NULL,16,NULL,16,0,323,218,95000,165631,1942,437,462,NULL,NULL,NULL,No
Livermore,1353,2024,2756368,14313,85639,328417,120159,NULL,NULL,381462,14982,3701340,NULL,NULL,NULL,NULL,NULL,NULL,1954655,248857,69855,624031,NULL,329642,NULL,3227040,474300,672840,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,643334,1316174,96283,NULL,NULL,NULL,NULL,96283,1694191,151000,NULL,NULL,NULL,NULL,151000,NULL,NULL,NULL,NULL,0,1845191,22449941,-25648,Restatement (FS Note 19),24269484,17007389,NULL,7262095,24269484,644,5253,0,5720,0,173,0,12,1,466,393,183190,1026203,1961,0,0,0,0,0,No
Lompoc,1358,2024,368137,NULL,NULL,NULL,NULL,NULL,NULL,237456,4315312,4920905,NULL,NULL,NULL,NULL,NULL,NULL,81812,NULL,NULL,NULL,NULL,793197,361659,1236668,3684237,-99206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-99206,1102,NULL,NULL,NULL,NULL,1102,3583929,NULL,NULL,NULL,NULL,NULL,0,44746,NULL,NULL,NULL,0,3628675,14044922,NULL,NULL,17673597,17712825,NULL,-39228,17673597,193,4600,0,4600,0,17,0,9,1,81,78,10000,38451,1991,0,0,0,0,0,No
Long Beach,1359,2024,NULL,NULL,563000,11056000,204000,25389000,11186000,NULL,15348000,63746000,6266000,NULL,NULL,3984000,NULL,NULL,15381000,5078000,1103000,1221000,NULL,17284000,15843000,66160000,-2414000,2855000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1814000,4669000,4766000,NULL,NULL,NULL,NULL,4766000,-2511000,17695000,NULL,NULL,NULL,NULL,17695000,NULL,-119000,NULL,NULL,0,15065000,289255000,NULL,NULL,304320000,264071000,44981000,-4732000,304320000,1175,10000,NULL,5808,NULL,10,NULL,50,30,303,91,389031,29118946,1924,2072058,2081818,32235265,227561,46,No
Los Angeles,1364,2024,12723140,11924725,923580609,132274617,5647882,347646053,512406226,9686593,2221185,1958111030,50717980,NULL,NULL,235232932,NULL,48186404,320515533,193704169,21243443,96032349,NULL,765423101,NULL,1731055911,227055119,182040917,NULL,151506267,NULL,2491557,NULL,NULL,NULL,NULL,NULL,NULL,83580002,419618743,431491908,NULL,NULL,11153681,30226539,472872128,173801734,117645372,NULL,212481,800000,9948313,128606166,NULL,NULL,NULL,NULL,0,302407900,6132040548,NULL,NULL,6434448448,5298165250,593303183,542980015,6434448448,21530,12923,NULL,15340,NULL,NULL,NULL,NULL,13150,NULL,38,912514,NULL,1928,38339553,38176503,4657008000,128152508,125,No
Los Banos,1365,2024,NULL,411,103520,NULL,NULL,NULL,152091,NULL,299,256321,NULL,NULL,NULL,NULL,NULL,NULL,22344,15294,3655,22293,120120,92652,59661,336019,-79698,35065,NULL,NULL,NULL,NULL,NULL,7590,10000,NULL,NULL,NULL,NULL,52655,NULL,NULL,NULL,63307,NULL,63307,-90350,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-90350,1629586,NULL,NULL,1539236,672960,NULL,866276,1539236,124,3800,NULL,3800,NULL,2,NULL,2,1,25,28,NULL,38722,1940,NULL,NULL,NULL,NULL,NULL,No
Madera,1369,2024,172190,5058,11300,NULL,NULL,NULL,NULL,3710,321445,513703,NULL,NULL,NULL,NULL,NULL,NULL,212221,NULL,40988,279872,NULL,297675,16785,847541,-333838,64890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,154308,219198,NULL,NULL,NULL,NULL,NULL,0,-114640,NULL,NULL,NULL,NULL,1174527,1174527,9840,-36782,NULL,NULL,0,1032945,11879814,-1,Beginning balance adjustment,12912758,11122887,NULL,1789871,12912758,920,5544,3702,6345,2600,16,NULL,6,1,128,109,53600,80047,1947,NULL,NULL,NULL,NULL,NULL,No
Marina,1375,2024,141485,1183599,NULL,NULL,NULL,149562,NULL,386772,NULL,1861418,6646,NULL,NULL,88195,120320,48919,390211,121767,NULL,338106,290236,721287,NULL,2125687,-264269,209837,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,209837,NULL,NULL,NULL,NULL,NULL,0,-54432,NULL,NULL,NULL,NULL,41671,41671,80292,-974800,NULL,NULL,0,-907269,47904431,-569381,audit report was not finalized ,46427781,44869009,NULL,1558772,46427781,1060,3483,NULL,3483,NULL,13,NULL,8,4,49,52,12499,59997,1995,NULL,NULL,NULL,NULL,NULL,No
Merced,1382,2024,164202,1302,63630,37708,8101,21004,NULL,5700,50,301697,NULL,NULL,NULL,NULL,NULL,NULL,319206,NULL,NULL,-18410,NULL,453837,NULL,754633,-452936,104738,NULL,NULL,NULL,3627670,NULL,NULL,NULL,NULL,NULL,NULL,56000,3788408,NULL,NULL,NULL,NULL,NULL,0,3335472,NULL,NULL,NULL,NULL,NULL,0,269873,-14778,NULL,NULL,0,3590567,3724475,NULL,NULL,7315042,7374139,13302222,-13361319,7315042,450,5914,NULL,5914,NULL,10,NULL,16,2,66,91,58650,111384,1940,4777,4588,274759,0,1,No
Modesto,1387,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,948663,13023,961686,NULL,NULL,NULL,NULL,NULL,NULL,390866,148817,117214,75049,NULL,656160,351115,1739221,-777535,117465,319847,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,765925,1203237,NULL,NULL,NULL,NULL,2001,2001,423701,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,423701,11596511,NULL,NULL,12020212,8408422,NULL,3611790,12020212,450,5911,NULL,5911,NULL,150,NULL,28,20,157,133,49543,762736,1936,NULL,NULL,439380,NULL,NULL,No
Montague,1389,2024,7977,NULL,NULL,NULL,441,NULL,NULL,NULL,NULL,8418,NULL,NULL,10218,NULL,NULL,3117,NULL,NULL,NULL,NULL,NULL,32542,NULL,45877,-37459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,5000,NULL,NULL,15000,NULL,NULL,NULL,NULL,NULL,0,-22459,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,-22459,615285,NULL,NULL,592826,377093,NULL,215733,592826,330,3360,2080,3360,NULL,6,1,3,1,15,17,1300,6340,1925,300,300,1040000,NULL,2,No
Oakdale,1413,2024,181100,NULL,NULL,NULL,NULL,NULL,NULL,442013,604,623717,NULL,NULL,NULL,NULL,NULL,NULL,27236,38622,118880,NULL,376148,186172,NULL,747058,-123341,7380,NULL,NULL,NULL,NULL,NULL,5223,20000,NULL,NULL,NULL,NULL,32603,NULL,NULL,NULL,NULL,NULL,0,-90738,-133633,NULL,NULL,NULL,NULL,-133633,NULL,NULL,NULL,NULL,0,-224371,6084566,NULL,NULL,5860195,5419857,NULL,440338,5860195,120,3011,NULL,3011,NULL,2,NULL,4,1,80,22,NULL,35000,NULL,NULL,NULL,NULL,NULL,NULL,No
